connect-probability	delete-probability	add-probability	n-node	slope	r	p
0.1	0.1	0.9	400	-1.542	0.192	0.0349019
0.1	0.9	0.001	400	0.799	-0.603	1.8e-06
0.1	0.9	0.01	400	0.746	-0.393	0.0008314
0.1	0.9	0.1	400	0.845	-0.09	0.4759044
0.1	0.9	0.9	400	1.445	-0.107	0.1703536
0.9	0.001	0.001	400	-5.127	0.153	0.0852886
0.9	0.001	0.01	400	-7.8	0.223	0.0128495
0.9	0.001	0.1	400	-14.324	0.387	9.8e-06
0.9	0.001	0.9	400	-50.423	0.546	1.1e-05
0.9	0.01	0.001	400	-5.293	0.199	0.01712
0.9	0.01	0.01	400	-3.433	0.12	0.1515139
0.9	0.01	0.1	400	-7.406	0.187	0.0409934
0.9	0.01	0.9	400	-34.373	0.41	0.0004678
0.9	0.1	0.001	400	-1.798	0.43	0.0
0.9	0.1	0.01	400	-2.073	0.481	0.0
0.9	0.1	0.1	400	-2.768	0.393	0.0
0.9	0.1	0.9	400	-16.184	0.196	0.1016817
0.9	0.9	0.001	400	0.254	-0.32	0.0011563
0.9	0.9	0.01	400	0.211	-0.261	0.0052624
0.9	0.9	0.1	400	0.468	-0.251	0.0062743
0.9	0.9	0.9	400	-1.158	0.086	0.2789514
0.001	0.001	0.001	800	1.909	-0.907	0.0
0.001	0.001	0.01	800	0.776	-0.491	4e-07
0.001	0.001	0.1	800	0.996	-0.549	0.0
0.001	0.001	0.9	800	0.259	-0.067	0.4601906
0.001	0.01	0.001	800	1.935	-0.905	0.0
0.001	0.01	0.01	800	0.759	-0.498	3e-07
0.001	0.01	0.1	800	0.889	-0.484	0.0
0.001	0.01	0.9	800	0.606	-0.153	0.071248
0.001	0.1	0.001	800	2.076	-0.909	0.0
0.001	0.1	0.01	800	1.155	-0.645	0.0
0.001	0.1	0.1	800	0.998	-0.489	0.0
0.001	0.1	0.9	800	0.404	-0.105	0.2599869
0.001	0.9	0.001	800	2.832	-0.896	0.0010796
0.001	0.9	0.01	800	0.137	-0.062	0.7264289
0.001	0.9	0.1	800	0.153	-0.043	0.638582
0.001	0.9	0.9	800	0.927	-0.147	0.0264178
0.01	0.001	0.001	800	0.196	-0.112	0.4301947
0.01	0.001	0.01	800	0.713	-0.365	0.0001118
0.01	0.001	0.1	800	0.993	-0.51	0.0
0.01	0.001	0.9	800	0.23	-0.058	0.5222942
0.01	0.01	0.001	800	0.065	-0.038	0.7915172
0.01	0.01	0.01	800	0.585	-0.311	0.0016351
0.01	0.01	0.1	800	1.047	-0.533	0.0
0.01	0.01	0.9	800	0.231	-0.058	0.4971525
0.01	0.1	0.001	800	0.348	-0.193	0.1928698
0.01	0.1	0.01	800	0.776	-0.376	0.0004319
0.01	0.1	0.1	800	1.254	-0.602	0.0
0.01	0.1	0.9	800	0.27	-0.065	0.468714
0.01	0.9	0.001	800	1.591	-0.788	2.21e-05
0.01	0.9	0.01	800	0.623	-0.173	0.3618569
0.01	0.9	0.1	800	0.096	-0.024	0.7921915
0.01	0.9	0.9	800	1.032	-0.156	0.0179536
0.1	0.001	0.001	800	0.354	-0.065	0.4677362
0.1	0.001	0.01	800	0.422	-0.085	0.3066854
0.1	0.001	0.1	800	1.363	-0.496	0.0
0.1	0.001	0.9	800	-0.578	0.138	0.1058376
0.1	0.01	0.001	800	0.406	-0.075	0.4105045
0.1	0.01	0.01	800	0.797	-0.153	0.0699989
0.1	0.01	0.1	800	1.236	-0.463	0.0
0.1	0.01	0.9	800	-0.129	0.03	0.7133395
0.1	0.1	0.001	800	0.033	-0.007	0.931638
0.1	0.1	0.01	800	0.161	-0.027	0.7707943
0.1	0.1	0.1	800	1.433	-0.495	0.0
0.1	0.1	0.9	800	-0.026	0.005	0.9493478
0.1	0.9	0.001	800	0.492	-0.436	0.000117
0.1	0.9	0.01	800	0.361	-0.215	0.0454999
0.1	0.9	0.1	800	-0.722	0.067	0.5700952
0.1	0.9	0.9	800	1.29	-0.177	0.0078032
0.9	0.001	0.001	800	-4.544	0.091	0.2987073
0.9	0.001	0.01	800	-11.519	0.223	0.0120343
0.9	0.001	0.1	800	-16.033	0.318	0.0001833
0.9	0.001	0.9	800	-25.268	0.418	0.0001906
0.9	0.01	0.001	800	-6.017	0.161	0.0480791
0.9	0.01	0.01	800	-4.159	0.107	0.2018312
0.9	0.01	0.1	800	-14.709	0.268	0.0027305
0.9	0.01	0.9	800	-18.657	0.309	0.0032519
0.9	0.1	0.001	800	-3.431	0.466	0.0
0.9	0.1	0.01	800	-3.806	0.516	0.0
0.9	0.1	0.1	800	-4.821	0.477	0.0
0.9	0.1	0.9	800	-12.651	0.133	0.2559661
0.9	0.9	0.001	800	0.11	-0.171	0.0508633
0.9	0.9	0.01	800	-0.013	0.016	0.8432125
0.9	0.9	0.1	800	0.0	-0.0	0.9983611
0.9	0.9	0.9	800	-0.866	0.111	0.0872723
